| Role / User Story                                                                                                                                                 | User Value                                                           | Data Captured                                                                                                             | Update Representation                             | MVP Prior (MoSCoW) |
| ----------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------- | ------------------ |
| As a Founder/PM, I want to add new feature ideas with ROI, TtV, and Confidence (with sub-values).                                                                 | Structures decisions, reduces gut-feel.                              | ROI (gains, costs, churn/OPX, opp. cost), TtV (market + business value), Confidence (validation stage, evidence quality). | New bubble plotted.                               | Must               |
| As a PM, I want the system to calculate ROI & TtV where possible (via Jira/GitHub/Trello link or Startup Coach prompts).                                          | Keeps data current, reduces manual work.                             | Builds confidence, reduces bias.                                                                                          | Bubble size/Y-axis updated.                       | Must               |
| As a Founder/PM, I want to attach evidence (feedback, pilots, contracts, paying customers).                                                                       | As a PM, I want to visualize all features on a VECTR graph.          | Clarity & defensible prioritization.                                                                                      | X-axis (confidence) shifts.                       | Must               |
| As a Founder, I want to provide my current roadmap and allocated resources (e.g., team capacity, budget), so that the prioritization is realistic and actionable. | Aligns prioritization with execution reality; avoids overcommitting. | ROI, TtV, Confidence scores.                                                                                              | Full bubble chart rendered.                       | Must               |
| As a Founder, I want to see confidence changes over time.                                                                                                         | Makes validation loops visible.                                      | Resource availability (team size, sprint capacity, budget constraints).                                                   | VECTR map overlaid with capacity/resource limits. | Must               |
| As a PM, I want to filter/sort features by ROI, TtV, or Confidence.                                                                                               | Focus on key features.                                               | Evidence history.                                                                                                         | Bubble movement (red + green).                    | Should             |
| As a Founder/PM, I want to store past decisions & outcomes.                                                                                                       | Learn from mistakes, improve estimates.                              | Thresholds & filters.                                                                                                     | Filtered VECTR view.                              | Should             |
| As a User, I want to compare multiple prioritization scenarios (optimistic vs. conservative).                                                                     | Prepares for uncertainty.                                            | Historical ROI/TtV/Confidence vs. actuals.                                                                                | Timeline + bubble movement.                       | Could              |
| As a Founder, I want to connect features to startup KPIs (revenue, churn, burn).                                                                                  | Links product to business growth.                                    | Scenario assumptions.                                                                                                     | Side-by-side/toggle maps.                         | Could              |
| As a PM, I want to export and share the VECTR map & data.                                                                                                         | Makes tool “board-ready.”                                            | ARR, churn %, burn.                                                                                                       | KPI overlay or tooltip.                           | Must               |
|                                                                                                                                                                   |                                                                      |                                                                                                                           | Export file (PDF, PNG, CSV).                      | Must               |
